Conference,Year,Title,DOI,Abstract,AuthorNames-Deduped,Award,Resources
Vis,2022,PSEUDo: Interactive Pattern Search in Multivariate Time Series with Locality-Sensitive Hashing and Relevance Feedback,10.1109/TVCG.2022.3209431,,Yuncong Yu;Dylan Kruyff;Jiao Jiao;Tim Becker;Michael Behrisch 0001,,
Vis,2021,Data-Aware Predictive Scheduling for Distributed-Memory Ray Tracing,10.1109/TVCG.2021.3114838,,Hyungman Park;Donald S. Fussell;Paul A. Navrátil,,
Vis,2021,Automatic Narrative Summarization for Visualizing Cyber Security Logs and Incident Reports,10.1109/TVCG.2021.3114843,,Robert Gove,,
Vis,2020,A Visualization Interface to Improve the Transparency of Collected Personal Data on the Internet,10.1109/TVCG.2020.3028946,,Marija Schufrin;Steven Lamarr Reynolds;Arjan Kuijper;Jörn Kohlhammer,,
Vis,2020,Passing the Data Baton : A Retrospective Analysis on Data Science Work and Workers,10.1109/TVCG.2020.3030340,,Anamaria Crisan;Brittany Fiore-Gartland;Melanie Tory,,
Vis,2020,Foveated Encoding for Large High-Resolution Displays,10.1109/TVCG.2020.3030445,,Florian Frieß;Matthias Braun 0005;Valentin Bruder;Steffen Frey;Guido Reina;Thomas Ertl,,
